rest_name,rest_address,time_open,price,avg_score,quality_score,price_score,service_score,space_score,location_score,link,Location,Cate,rest_id
Hoàng Tâm - Món Ngon Miền Tây - Phan Xích Long,"352 Phan Xích Long, P. 2, Quận Phú Nhuận, TP. HCM",08:00 - 22:30,36.000 - 500.000,6.7,6.0,6.0,6.5,7.5,7.8,https://www.foody.vn/ho-chi-minh/hoang-tam-mon-ngon-mien-tay-phan-xich-long,TPHCM,Nha Hang,439
Chả Cá Vàng Thơm - Chả Cá Chiên Ăn Liền - Đỗ Xuân Hợp,"487 Đỗ Xuân Hợp, P. Phước Long B, Tp. Thủ Đức, TP. HCM",07:30 - 14:00 | 15:30 - 20:00,10.000 - 100.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/cha-ca-vang-thom-cha-ca-chien-an-lien-do-xuan-hop,TPHCM,An Vat Via He,694
TukTuk Thai Bistro - Ngô Thời Nhiệm,"29 Ngô ThờI NhiệM, P. 6, Quận 3, TP. HCM",10:00 - 22:30,50.000 - 250.000,7.7,7.8,7.0,7.7,8.2,7.8,https://www.foody.vn/ho-chi-minh/tuktuk-thai-bistro-ngo-thoi-nhiem,TPHCM,Nha Hang,271
Hoàng Tâm - Món Ngon Miền Tây - Phú Mỹ Hưng,"24 Lô C 15B Khu Star Hill, 24 Raymondienne, P. Tân Phú, Quận 7, TP. HCM",10:00 - 22:00,25.000 - 121.000,6.4,7.3,6.0,6.0,7.0,5.7,https://www.foody.vn/ho-chi-minh/hoang-tam-mon-ngon-mien-tay-phu-my-hung,TPHCM,Nha Hang,315
Chả Cá Vàng Thơm - Chả Cá Chiên Ăn Liền - Thảo Điền,"Shophouse 11, Khu Căn Hộ Q2 Thảo Điền, 21 Võ Trường Toản, P. An Phú, Tp. Thủ Đức, TP. HCM",09:00 - 21:00,12.000 - 385.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/cha-ca-vang-thom-cha-ca-chien-an-lien-thao-dien,TPHCM,An Vat Via He,695
Hoàng Tâm - Món Ngon Miền Tây - Song Hành,"47 Song Hành, P. An Phú, Tp. Thủ Đức, TP. HCM",10:00 - 22:00,40.000 - 300.000,8.6,9.0,8.0,9.0,9.0,8.0,https://www.foody.vn/ho-chi-minh/hoang-tam-mon-ngon-mien-tay-song-hanh,TPHCM,Nha Hang,793
Vitamin Bar I - Sinh Tố & Ăn Vặt,"174 Đặng Văn Ngữ, P.14, Quận Phú Nhuận, TP. HCM",08:00 - 23:00,12.000 - 25.000,6.5,6.5,7.2,5.7,6.0,6.9,https://www.foody.vn/ho-chi-minh/vitamin-bar-i,TPHCM,An Vat Via He,755
Buffet Hải Sản - Café Central An Đông - Khách Sạn Windsor Plaza,"Windsor Plaza, 18 An Dương Vương, Quận 5, TP. HCM",11:30 - 14:30 | 18:00 - 22:00,449.000 - 853.000,7.2,7.2,6.4,7.3,7.6,7.4,https://www.foody.vn/ho-chi-minh/buffet-windsor-cafe-central-an-dong-windsor-plaza,TPHCM,Nha Hang,1037
Buffet Hải Sản - Café Central An Đông - Khách Sạn Windsor Plaza,"Windsor Plaza, 18 An Dương Vương, Quận 5, TP. HCM",11:30 - 14:30 | 18:00 - 22:00,449.000 - 853.000,7.2,7.2,6.4,7.3,7.6,7.4,https://www.foody.vn/ho-chi-minh/buffet-windsor-cafe-central-an-dong-windsor-plaza,TPHCM,Sang Trong,1037
Nhung qa test - Test - 1,"12 Nguyễn Đình Chiểu, Phường Phạm Ngũ Lão, Quận 1, TP. HCM",09:00 - 22:00,150.000 - 275.000,7.1,6.9,6.6,6.7,8.1,7.1,https://www.foody.vn/ho-chi-minh/lang-du-lich-binh-quoi-i,TPHCM,Nha Hang,179
