food_id,rest_id,food_name,food_price
209,821,Ba chỉ bò Mỹ - 100gr,52920.0
410,821,Bắp bò Úc - 100gr,63720.0
779,821,Thịt bò mỹ vị - 100gr,52920.0
553,821,Ba chỉ Cừu - 100gr,63720.0
1529,645,Lẩu Thái - 1200ml,70200.0
269,645,Lẩu Đài Bắc - 1200ml,70200.0
1407,645,Lẩu Mala Đài Loan - 1200ml,81000.0
1570,645,Lẩu nấm - 1200ml,70200.0
1781,645,Lẩu cà chua - 1200ml,70200.0
209,645,Ba chỉ bò Mỹ - 100gr,52920.0
410,645,Bắp bò Úc - 100gr,63720.0
1441,645,Gầu hoa bò Úc - 100gr,63720.0
682,645,Gầu bò Mỹ - 100gr,63720.0
553,645,Ba chỉ Cừu - 100gr,63720.0
1855,1004,Bánh Mì Nem Khoai Nhỏ + Trà Chanh,40000.0
1445,1004,Combo 5 viên Nem chua rán + 1 Trà Chanh Lài,35000.0
351,1041,Combo 1 Pizza size S + 1 Soft Drink,111000.0
908,1041,PIZZA 1K CHỈ KHI ĂN GÀ,1000.0
337,1041,COMBO NUI BỎ LÒ 69K,69000.0
1718,1041,Gà Giòn Xốt Hàn - Truyền Thống,99000.0
758,1041,Gà Giòn Xốt Hàn - Cay,99000.0
406,1041,Gà Giòn Xốt Tương Tỏi Hàn Quốc,99000.0
1771,1041,Pizza Hải Sản Pesto Xanh / Secret Recipe Seafood Pesto,169000.0
597,1041,Pizza Hải Sản Đào - Seafood & Peach,169000.0
1708,1041,Pizza Hải Sản Nhiệt Đới / Tropical Seafood,139000.0
1338,1098,Nem chua rán lớn,69000.0
1883,1098,Nem chua rán nhỏ,39000.0
349,1098,50v Nem tươi (5 phần nhỏ),169000.0
1259,1098,100v Nem tươi (5 phần lớn),299000.0
1445,526,Combo 5 viên Nem chua rán + 1 Trà Chanh Lài,35000.0
1855,526,Bánh Mì Nem Khoai Nhỏ + Trà Chanh,40000.0
349,281,50v Nem tươi (5 phần nhỏ),169000.0
1259,281,100v Nem tươi (5 phần lớn),299000.0
1165,281,Coca-Cola không đường 1Đ,12000.0
1855,281,Bánh Mì Nem Khoai Nhỏ + Trà Chanh,40000.0
485,281,Combo 1 người,94000.0
1635,281,Combo 2 lớn,138000.0
1445,281,Combo 5 viên Nem chua rán + 1 Trà Chanh Lài,35000.0
196,281,Combo 2 người,179000.0
713,281,Combo văn phòng,345000.0
1338,281,Nem chua rán lớn,69000.0
351,161,Combo 1 Pizza size S + 1 Soft Drink,111000.0
337,161,COMBO NUI BỎ LÒ 69K,69000.0
908,161,PIZZA 1K CHỈ KHI ĂN GÀ,1000.0
1718,161,Gà Giòn Xốt Hàn - Truyền Thống,99000.0
758,161,Gà Giòn Xốt Hàn - Cay,99000.0
406,161,Gà Giòn Xốt Tương Tỏi Hàn Quốc,99000.0
1771,161,Pizza Hải Sản Pesto Xanh / Secret Recipe Seafood Pesto,169000.0
597,161,Pizza Hải Sản Đào - Seafood & Peach,169000.0
1708,161,Pizza Hải Sản Nhiệt Đới / Tropical Seafood,139000.0
741,1184,Há cảo (3 pcs),82000.0
439,1184,Xíu mại tôm thịt với nấm hương (3 pcs),70000.0
368,1184,Sò điệp & nấm cảo (3 pcs),106000.0
828,1184,Bánh cuốn tôm tươi (3 pcs),90000.0
1484,1184,Bánh cuốn sò điệp tươi (3 pcs),90000.0
253,1184,Chân gà hấp tương quế lâm,84000.0
487,1184,Bánh bao kim sa (3 pcs),75000.0
1256,1184,Đậu hủ hầm hải sản tay cầm,226000.0
282,1184,Hoành thánh tôm chiên (3 pcs),70000.0
1346,1184,Chạo tôm chiên giòn nhân phô mai (3 pcs),100000.0
351,934,Combo 1 Pizza size S + 1 Soft Drink,111000.0
337,934,COMBO NUI BỎ LÒ 69K,69000.0
908,934,PIZZA 1K CHỈ KHI ĂN GÀ,1000.0
1718,934,Gà Giòn Xốt Hàn - Truyền Thống,99000.0
406,934,Gà Giòn Xốt Tương Tỏi Hàn Quốc,99000.0
758,934,Gà Giòn Xốt Hàn - Cay,99000.0
1771,934,Pizza Hải Sản Pesto Xanh / Secret Recipe Seafood Pesto,169000.0
597,934,Pizza Hải Sản Đào - Seafood & Peach,169000.0
1708,934,Pizza Hải Sản Nhiệt Đới / Tropical Seafood,139000.0
349,28,50v Nem tươi (5 phần nhỏ),169000.0
1259,28,100v Nem tươi (5 phần lớn),299000.0
1165,28,Coca-Cola không đường 1Đ,12000.0
1635,28,Combo 2 lớn,138000.0
485,28,Combo 1 người,94000.0
196,28,Combo 2 người,179000.0
713,28,Combo văn phòng,345000.0
1338,28,Nem chua rán lớn,69000.0
839,28,Bánh giò Đông Các,45000.0
1883,28,Nem chua rán nhỏ,39000.0
1186,953,Cơm tấm sườn chả,45000.0
1709,953,Cơm tấm sườn trứng,45000.0
1494,953,Cơm tấm sườn bì,45000.0
902,953,Cơm tấm sườn cốt lết nướng,77760.0
381,953,Cơm Tấm Sườn Cốt Lết Bì Chả,89640.0
683,953,Cơm Tấm Sườn Cốt Lết 7 Món,101520.0
1169,953,Cơm tấm sườn cốt lết + trứng gà,83160.0
351,357,Combo 1 Pizza size S + 1 Soft Drink,111000.0
908,357,PIZZA 1K CHỈ KHI ĂN GÀ,1000.0
337,357,COMBO NUI BỎ LÒ 69K,69000.0
758,357,Gà Giòn Xốt Hàn - Cay,99000.0
406,357,Gà Giòn Xốt Tương Tỏi Hàn Quốc,99000.0
1718,357,Gà Giòn Xốt Hàn - Truyền Thống,99000.0
1771,357,Pizza Hải Sản Pesto Xanh / Secret Recipe Seafood Pesto,169000.0
597,357,Pizza Hải Sản Đào - Seafood & Peach,169000.0
1708,357,Pizza Hải Sản Nhiệt Đới / Tropical Seafood,139000.0
349,251,50v Nem tươi (5 phần nhỏ),169000.0
1259,251,100v Nem tươi (5 phần lớn),299000.0
1165,251,Coca-Cola không đường 1Đ,12000.0
1445,251,Combo 5 viên Nem chua rán + 1 Trà Chanh Lài,35000.0
1855,251,Bánh Mì Nem Khoai Nhỏ + Trà Chanh,40000.0
1334,251,Combo 2 Nem Lớn,138000.0
713,251,Combo văn phòng,345000.0
1338,251,Nem chua rán lớn,69000.0
1883,251,Nem chua rán nhỏ,39000.0
1617,251,Bánh mì nem khoai Lớn,33000.0
1048,422,Bánh mì nem khoai nhỏ + trà chanh,40000.0
1163,422,Trà chanh,15000.0
1445,422,Combo 5 viên Nem chua rán + 1 Trà Chanh Lài,35000.0
1635,422,Combo 2 lớn,138000.0
713,422,Combo văn phòng,345000.0
1338,422,Nem chua rán lớn,69000.0
1883,422,Nem chua rán nhỏ,39000.0
629,422,Bánh mì nem khoai lớn,33000.0
1010,422,Bánh mì nem khoai nhỏ,25000.0
349,422,50v Nem tươi (5 phần nhỏ),195000.0
351,102,Combo 1 Pizza size S + 1 Soft Drink,111000.0
908,102,PIZZA 1K CHỈ KHI ĂN GÀ,1000.0
337,102,COMBO NUI BỎ LÒ 69K,69000.0
406,102,Gà Giòn Xốt Tương Tỏi Hàn Quốc,99000.0
1718,102,Gà Giòn Xốt Hàn - Truyền Thống,99000.0
758,102,Gà Giòn Xốt Hàn - Cay,99000.0
1771,102,Pizza Hải Sản Pesto Xanh / Secret Recipe Seafood Pesto,169000.0
597,102,Pizza Hải Sản Đào - Seafood & Peach,169000.0
1708,102,Pizza Hải Sản Nhiệt Đới / Tropical Seafood,139000.0
1186,1114,Cơm tấm sườn chả,45000.0
1709,1114,Cơm tấm sườn trứng,45000.0
1494,1114,Cơm tấm sườn bì,45000.0
902,1114,Cơm tấm sườn cốt lết nướng,77760.0
381,1114,Cơm Tấm Sườn Cốt Lết Bì Chả,89640.0
683,1114,Cơm Tấm Sườn Cốt Lết 7 Món,101520.0
127,1114,Cơm tấm sườn cốt lết 5 món,95040.0
349,391,50v Nem tươi (5 phần nhỏ),169000.0
1259,391,100v Nem tươi (5 phần lớn),299000.0
1165,391,Coca-Cola không đường 1Đ,12000.0
1635,391,Combo 2 lớn,138000.0
161,391,Combo Bánh Mì Lớn + Nước,43000.0
225,391,Combo Bánh Mì Nhỏ + Nước,35000.0
713,391,Combo văn phòng,345000.0
1338,391,Nem chua rán lớn,69000.0
1883,391,Nem chua rán nhỏ,39000.0
629,391,Bánh mì nem khoai lớn,33000.0
351,1135,Combo 1 Pizza size S + 1 Soft Drink,111000.0
337,1135,COMBO NUI BỎ LÒ 69K,69000.0
908,1135,PIZZA 1K CHỈ KHI ĂN GÀ,1000.0
1718,1135,Gà Giòn Xốt Hàn - Truyền Thống,99000.0
758,1135,Gà Giòn Xốt Hàn - Cay,99000.0
406,1135,Gà Giòn Xốt Tương Tỏi Hàn Quốc,99000.0
1771,1135,Pizza Hải Sản Pesto Xanh / Secret Recipe Seafood Pesto,169000.0
597,1135,Pizza Hải Sản Đào - Seafood & Peach,169000.0
1708,1135,Pizza Hải Sản Nhiệt Đới / Tropical Seafood,139000.0
902,203,Cơm tấm sườn cốt lết nướng,77760.0
381,203,Cơm Tấm Sườn Cốt Lết Bì Chả,89640.0
1169,203,Cơm tấm sườn cốt lết + trứng gà,83160.0
683,203,Cơm Tấm Sườn Cốt Lết 7 Món,101520.0
127,203,Cơm tấm sườn cốt lết 5 món,95040.0
1229,203,Cơm tấm sườn cốt lết + chả,83160.0
1221,203,Cơm tấm sườn cốt lết + bì,83160.0
742,203,Cơm tấm sườn cốt lết + trứng cút opla,83160.0
292,203,Cơm tấm sườn non nướng,89640.0
888,203,Cơm tấm sườn non 7 món,113400.0
1635,872,Combo 2 lớn,138000.0
713,872,Combo văn phòng,345000.0
1338,872,Nem chua rán lớn,69000.0
1883,872,Nem chua rán nhỏ,39000.0
629,872,Bánh mì nem khoai lớn,33000.0
1010,872,Bánh mì nem khoai nhỏ,25000.0
