,rest_name,rest_address,time_open,price,avg_score,quality_score,price_score,service_score,space_score,location_score,link,Location,Cate,rest_id
953,Meat & Meet Korean BBQ Container - Song Hành,"Tầng 3,  L3-01 TTTM Estella Place, 88 Song Hành, P. An Phú, Quận 2, TP. HCM",09:30 - 22:00,199.000 - 429.000,7.4,7.7,7.3,7.1,7.5,7.6,https://www.foody.vn/ho-chi-minh/meat-meet-korean-bbq-container-song-hanh,TPHCM,Nha Hang,553
954,Wrap&Roll - Vincom Đồng Khởi,"Tầng Hầm 3,  Tầng B3, B23 - 24, Vincom Đồng Khởi, 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",08:00 - 22:00,40.000 - 165.000,6.2,6.1,5.8,5.5,6.4,7.0,https://www.foody.vn/ho-chi-minh/wrap-roll-vincom-center,TPHCM,Nha Hang,761
955,Đậu Hủ Thúi 84 - Dương Bá Trạc,"7 Dương Bá Trạc, P. 1, Quận 8, TP. HCM",15:00 - 20:30,10.000 - 30.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/dau-hu-thui-84-duong-ba-trac,TPHCM,An Vat Via He,1153
956,Wrap&Roll - Nguyễn Đức Cảnh,"006 Nguyễn Đức Cảnh, Phú Mỹ Hưng, P. Tân Phong, Quận 7, TP. HCM",10:30 - 20:00,40.000 - 165.000,6.3,6.4,5.6,6.0,6.8,6.9,https://www.foody.vn/ho-chi-minh/wrap-roll-nguyen-duc-canh,TPHCM,Nha Hang,491
957,Sóng Sánh Milk Tea - Phùng Văn Cung,"94A2 PhùNg Văn Cung, P. 2, Quận Phú Nhuận, TP. HCM",10:00 - 22:00,15.000 - 20.000,6.7,7.0,7.8,6.4,5.2,7.1,https://www.foody.vn/ho-chi-minh/song-sanh-milk-tea-phung-van-cung,TPHCM,An Vat Via He,389
958,Meat & Meet Korean BBQ Container - Crescent Mall,"Tầng 4,  4F - 01 Crescent Mall, 101 Tôn Dật Tiên, P. Tân Phú, Quận 7, TP. HCM",10:00 - 22:00,199.000 - 429.000,7.1,6.6,7.2,6.4,7.3,7.7,https://www.foody.vn/ho-chi-minh/meat-meet-korean-bbq-container-crescent-mall,TPHCM,Nha Hang,240
959,Wrap&Roll - SC VivoCity,"Tầng 4,  Tầng 4 - SC VivoCity, 1058 Nguyễn Văn Linh, KP. 1, P. Tân Phong, Quận 7, TP. HCM",10:00 - 21:00,40.000 - 165.000,6.4,6.1,5.7,6.3,6.7,7.0,https://www.foody.vn/ho-chi-minh/wrap-roll-sc-vivocity,TPHCM,Nha Hang,662
960,Trà Sữa Sóng Sánh - Trần Thị Nghĩ,"14 Trần Thị Nghĩ, Quận Gò Vấp, TP. HCM",07:00 - 21:30,10.000 - 25.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/tra-sua-song-sanh-tran-thi-nghi,TPHCM,An Vat Via He,892
961,Sóng Sánh Milk Tea - Nguyễn Văn Nghi,"384A Nguyễn Văn Nghi, P. 7, Quận Gò Vấp, TP. HCM",10:00 - 22:30,8.000 - 15.000,7.4,7.7,8.4,7.1,6.8,7.1,https://www.foody.vn/ho-chi-minh/song-sanh-milk-tea-nguyen-van-nghi,TPHCM,An Vat Via He,108
962,Sóng Sánh Milk Tea - Trần Quốc Toản,"57A Trần Quốc Toản, P. 8, Quận 3, TP. HCM",10:00 - 22:00,15.000 - 20.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/song-sanh-milk-tea-tran-quoc-toan,TPHCM,An Vat Via He,118
963,Wrap&Roll - AEON Mall Bình Tân,"Tầng 3,  Lô T22, Tầng 3, AEON Mall Bình Tân, 1 Đường Số 17A, P. Bình Trị Đông, Quận Bình Tân, TP. HCM",10:00 - 21:00,40.000 - 160.000,6.4,6.1,5.9,6.2,6.6,7.3,https://www.foody.vn/ho-chi-minh/wrap-roll-aeon-mall-binh-tan,TPHCM,Nha Hang,148
964,Meat & Meet Korean BBQ Container – Huỳnh Thúc Kháng,"10 Huỳnh Thúc Kháng, P. Bến Nghé, Quận 1, TP. HCM",10:00 - 22:00,60.000 - 300.000,7.3,7.2,7.5,7.3,6.9,7.9,https://www.foody.vn/ho-chi-minh/meat-meet-korean-bbq-container-huynh-thuc-khang,TPHCM,Nha Hang,195
965,Sóng Sánh Milk Tea - Hồ Bá Kiện,"102 Hồ Bá Kiện, P. 15, Quận 10, TP. HCM",10:00 - 21:00,15.000 - 30.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/song-sanh-milk-tea-ho-ba-kien,TPHCM,An Vat Via He,634
966,Bon Bon - Soup Cua & Ăn Vặt - Bạch Đằng,"179 Bạch Đằng, P. 15, Quận Bình Thạnh, TP. HCM",06:30 - 23:00,15.000 - 50.000,6.5,6.3,7.0,6.2,6.3,6.8,https://www.foody.vn/ho-chi-minh/bon-bon-soup-cua-an-vat-bach-dang,TPHCM,An Vat Via He,351
967,Wrap&Roll - Vincom Lê Văn Việt,"Tầng 4,  Tầng 4 Vincom Lê Văn Việt, 50A Lê Văn Việt, P. Hiệp Phú, Tp. Thủ Đức, TP. HCM",10:00 - 21:00,40.000 - 165.000,6.0,5.7,5.8,5.5,6.5,6.6,https://www.foody.vn/ho-chi-minh/wrap-roll-vincom-le-van-viet,TPHCM,Nha Hang,667
968,Bon Bon - Soup Cua & Ăn Vặt - Đinh Tiên Hoàng,"84 Đinh Tiên Hoàng, P. 1, Quận Bình Thạnh, TP. HCM",14:00 - 23:00,15.000 - 50.000,9.2,9.8,9.2,9.4,8.7,8.7,https://www.foody.vn/ho-chi-minh/bon-bon-soup-cua-an-vat-dinh-tien-hoang,TPHCM,An Vat Via He,227
969,Wrap&Roll - Vincom Thủ Đức,"Tầng 4,  Tầng 4 Vincom Thủ Đức, 216 Võ Văn Ngân, P. Bình Thọ, Tp. Thủ Đức, TP. HCM",10:00 - 21:00,40.000 - 165.000,7.1,6.7,6.4,7.3,7.8,7.3,https://www.foody.vn/ho-chi-minh/wrap-roll-vincom-thu-duc,TPHCM,Nha Hang,1079
