,food_id,rest_id,food_name,food_price
182,643,353,Súp vi cá tiềm hải vị,419040.0
183,1836,353,Súp hải sản ngọc bích,95040.0
184,1836,353,Súp hải sản ngọc bích,95040.0
185,1836,353,Súp hải sản ngọc bích,95040.0
186,1836,353,Súp hải sản ngọc bích,95040.0
187,1449,978,Cháo ếch (nhỏ),105840.0
188,1108,978,Cháo ếch (lớn),213840.0
189,1007,978,Cháo ếch (vừa),181440.0
190,931,978,Cháo trắng thêm,32400.0
191,1718,978,Đậu bắp rang muối ớt,74520.0
192,1285,978,Nấm kim châm rang muối ớt,85320.0
193,799,978,Nấm bào ngư rang muối ớt,85320.0
194,890,978,Rau nấm thập cẩm rang muối ớt,106920.0
195,534,978,Cà tím rang muối ớt,74520.0
196,8,978,Nấm tay cầm,106920.0
197,1368,762,Combo D,80000.0
198,628,762,Tàu hủ thập cẩm,22000.0
199,1760,762,Tàu hủ bánh Flan,25000.0
200,501,762,Tàu hủ thập cẩm mít,25000.0
201,1533,762,Tàu Hủ Tả Pí Lù,30000.0
202,242,762,Tàu hủ phô mai,27000.0
203,79,762,Tàu hủ phô mai đào,27000.0
204,1290,762,Tàu hũ ngũ sắc,22000.0
205,1018,762,Tàu Hũ Truyền Thống,15000.0
206,1169,762,Tàu hủ ngũ sắc mít,25000.0
207,1449,1097,Cháo ếch (nhỏ),105840.0
208,1007,1097,Cháo ếch (vừa),181440.0
209,1108,1097,Cháo ếch (lớn),213840.0
210,931,1097,Cháo trắng thêm,32400.0
211,1718,1097,Đậu bắp rang muối ớt,74520.0
212,1285,1097,Nấm kim châm rang muối ớt,85320.0
213,799,1097,Nấm bào ngư rang muối ớt,85320.0
214,890,1097,Rau nấm thập cẩm rang muối ớt,106920.0
215,8,1097,Nấm tay cầm,106920.0
216,534,1097,Cà tím rang muối ớt,74520.0
217,551,924,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
218,551,924,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
219,551,924,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
220,551,924,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
221,1107,924,Đậu hũ hoàng kim,95040.0
