rest_name,rest_address,time_open,price,avg_score,quality_score,price_score,service_score,space_score,location_score,link
"Bếp Nhà Lấu - Mì, Cơm & Phá Lấu Heo","244/1 (Hẻm 246) Hoàng Hoa Thám, P. 5, Quận Bình Thạnh, TP. HCM",08:00 - 22:30,7.500 - 30.000,8.6,9.1,8.6,9.0,8.3,8.1,https://www.foody.vn/ho-chi-minh/bep-nha-lau-mi-com-pha-lau-heo
Xing Fu Tang Vietnam - Trà Sữa Đài Loan - Trần Bình Trọng,"229 Trần Bình Trọng, P. 3, Quận 5, TP. HCM",09:00 - 23:00,40.000 - 70.000,6.8,7.0,6.0,6.9,7.2,7.2,https://www.foody.vn/ho-chi-minh/xing-fu-tang-vietnam-tra-sua-dai-loan-tran-binh-trong
Nét Huế - Royal City,"41 Tầng B2-R6, Royal City, 72A Nguyễn Trãi, Quận Thanh Xuân, Hà Nội",09:00 - 22:00,50.000 - 220.000,6.8,6.7,6.6,6.6,7.0,7.1,https://www.foody.vn/ha-noi/net-hue-royal-city
"Bếp Nhà Lấu - Mì, Cơm & Phá Lấu Heo - Lê Văn Sỹ","Chợ Nguyên Văn Trỗi ( Kiot Số 1 ), Đường Lê Văn Sỹ, P. 13, Quận 3, TP. HCM",06:45 - 10:30,7.500 - 30.000,7.5,8.0,8.0,7.3,7.0,7.0,https://www.foody.vn/ho-chi-minh/bep-nha-lau-mi-com-pha-lau-heo-le-van-sy
Nét Huế - Trần Duy Hưng,"83 Trần Duy Hưng, P. Trung Hòa, Quận Cầu Giấy, Hà Nội",08:00 - 22:00,200.000 - 2.000.000,6.5,6.1,6.5,5.8,6.8,7.1,https://www.foody.vn/ha-noi/net-hue-tran-duy-hung
Xing Fu Tang Vietnam - Trà Sữa Đài Loan - Sư Vạn Hạnh,"495 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",08:30 - 17:30,40.000 - 70.000,7.7,7.6,7.1,7.8,8.1,7.8,https://www.foody.vn/ho-chi-minh/xing-fu-tang-vietnam-tra-sua-dai-loan-su-van-hanh
"Bếp Nhà Lấu - Mì, Cơm & Phá Lấu Heo - Nguyễn Đình Chính","124 Nguyễn Đình Chính, P. 15, Quận Phú Nhuận, TP. HCM",07:00 - 16:00,10.000 - 30.000,10.0,10.0,10.0,10.0,10.0,10.0,https://www.foody.vn/ho-chi-minh/bep-nha-lau-mi-com-pha-lau-heo-nguyen-dinh-chinh
"Bếp Nhà Lấu - Mì, Cơm & Phá Lấu Heo - 246B Hoàng Hoa Thám","246B Hoàng Hoa Thám, P. 5, Quận Bình Thạnh, TP. HCM",07:00 - 17:00,Đang cập nhật,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/bep-nha-lau-mi-com-pha-lau-heo-246b-hoang-hoa-tham
Xing Fu Tang Vietnam - Trà Sữa Đài Loan - Phan Xích Long,"436 Phan Xích Long, P. 2, Quận Phú Nhuận, TP. HCM",08:45 - 23:00,45.000 - 75.000,7.6,7.7,7.2,8.0,7.3,7.7,https://www.foody.vn/ho-chi-minh/xing-fu-tang-vietnam-tra-sua-dai-loan-phan-xich-long
Nét Huế - 43 Mai Hắc Đế,"43 Mai Hắc Đế, Quận Hai Bà Trưng, Hà Nội",08:30 - 22:30,100.000 - 300.000,7.5,7.5,7.5,7.1,7.5,7.7,https://www.foody.vn/ha-noi/net-hue-43-mai-hac-de
