name_food,price_food,link_rest
Thịt bò nướng,14000.0,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-le-hong-phong
Buzza salad,128520.00000000001,https://www.foody.vn/ho-chi-minh/buzza-pizza-nowzone
Bánh mì bơ,8000.0,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-le-hong-phong
Beef salad,171720.0,https://www.foody.vn/ho-chi-minh/buzza-pizza-nowzone
Thịt Heo Nướng Xiên,14000.0,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-le-hong-phong
Bánh Mì Bơ Pate,13000.0,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-le-hong-phong
1phần đồ chua đu đủ 2g,10000.0,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-le-hong-phong
Bánh Mì Không,4000.0,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-le-hong-phong
BOKLOHONG Gỏi Ba Khía,42000.0,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-le-hong-phong
Bơ A Tùng /1hủ,15000.0,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-le-hong-phong
Hoành thánh chiên giòn với giấm chua ngọt,95040.0,https://www.foody.vn/ho-chi-minh/nha-hang-san-fu-lou
Tai heo sốt trứ danh San Fu Lou,95040.0,https://www.foody.vn/ho-chi-minh/nha-hang-san-fu-lou
Cháo ếch (nhỏ),105840.0,https://www.foody.vn/ho-chi-minh/ech-xanh
Đậu hũ hoàng kim,95040.0,https://www.foody.vn/ho-chi-minh/nha-hang-san-fu-lou
Cháo ếch (lớn),213840.0,https://www.foody.vn/ho-chi-minh/ech-xanh
Súp hải sản chua cay,95040.0,https://www.foody.vn/ho-chi-minh/nha-hang-san-fu-lou
Cháo ếch (vừa),181440.0,https://www.foody.vn/ho-chi-minh/ech-xanh
"Gà tiềm trúc xanh, nấm đông cô",105840.0,https://www.foody.vn/ho-chi-minh/nha-hang-san-fu-lou
Tàu hủ tả pí lù,32000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam
Cháo trắng thêm,32400.0,https://www.foody.vn/ho-chi-minh/ech-xanh
Xá xíu San Fu Lou,181440.0,https://www.foody.vn/ho-chi-minh/nha-hang-san-fu-lou
Tàu hủ truyền thống,17000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam
Đậu bắp rang muối ớt,74520.0,https://www.foody.vn/ho-chi-minh/ech-xanh
Há cảo tôm bó xôi 6 pcs,138240.0,https://www.foody.vn/ho-chi-minh/nha-hang-san-fu-lou
Tàu hủ thập cẩm,25000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam
Nấm kim châm rang muối ớt,85320.0,https://www.foody.vn/ho-chi-minh/ech-xanh
Há cảo thịt vịt gói kiểu trái lựu 6 pcs,138240.0,https://www.foody.vn/ho-chi-minh/nha-hang-san-fu-lou
Tàu hủ bánh flan,27000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam
Rau nấm thập cẩm rang muối ớt,106920.0,https://www.foody.vn/ho-chi-minh/ech-xanh
Bánh bao phong sa,73440.0,https://www.foody.vn/ho-chi-minh/nha-hang-san-fu-lou
Tàu hủ thập cẩm mít,27000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam
Nấm bào ngư rang muối ớt,85320.0,https://www.foody.vn/ho-chi-minh/ech-xanh
Bánh bao xá xíu,62640.0,https://www.foody.vn/ho-chi-minh/nha-hang-san-fu-lou
Tàu hủ ngũ sắc mít,25000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam
Cà tím rang muối ớt,74520.0,https://www.foody.vn/ho-chi-minh/ech-xanh
Tàu hủ phô mai,27000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam
Nấm tay cầm,106920.0,https://www.foody.vn/ho-chi-minh/ech-xanh
Tàu hũ ngũ sắc,22000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam
TÀU DƯỠNG NHÃN,37000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam
Tàu Hủ Xôi dừa,30000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam
Hoành thánh chiên giòn với giấm chua ngọt,95040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-cantonese-kitchen-phan-xich-long
Cháo ếch (nhỏ),105840.0,https://www.foody.vn/ho-chi-minh/ech-xanh-ho-xuan-huong
Đậu hũ hoàng kim,95040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-cantonese-kitchen-phan-xich-long
Cháo ếch (lớn),213840.0,https://www.foody.vn/ho-chi-minh/ech-xanh-ho-xuan-huong
Tai heo sốt trứ danh San Fu Lou,95040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-cantonese-kitchen-phan-xich-long
Cháo ếch (vừa),181440.0,https://www.foody.vn/ho-chi-minh/ech-xanh-ho-xuan-huong
Bắp bò kiểu Quảng Đông,116640.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-cantonese-kitchen-phan-xich-long
Cháo trắng thêm,32400.0,https://www.foody.vn/ho-chi-minh/ech-xanh-ho-xuan-huong
Chả giò Quảng Đông,105840.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-cantonese-kitchen-phan-xich-long
Đậu bắp rang muối ớt,74520.0,https://www.foody.vn/ho-chi-minh/ech-xanh-ho-xuan-huong
"Sườn heo hầm táo đỏ, xà lách xoong",105840.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-cantonese-kitchen-phan-xich-long
Nấm kim châm rang muối ớt,85320.0,https://www.foody.vn/ho-chi-minh/ech-xanh-ho-xuan-huong
Súp hải sản chua cay,95040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-cantonese-kitchen-phan-xich-long
Nấm bào ngư rang muối ớt,85320.0,https://www.foody.vn/ho-chi-minh/ech-xanh-ho-xuan-huong
"Gà tiềm trúc xanh, nấm đông cô",105840.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-cantonese-kitchen-phan-xich-long
Rau nấm thập cẩm rang muối ớt,106920.0,https://www.foody.vn/ho-chi-minh/ech-xanh-ho-xuan-huong
Súp vi cá tiềm hải vị,419040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-cantonese-kitchen-phan-xich-long
Cà tím rang muối ớt,74520.0,https://www.foody.vn/ho-chi-minh/ech-xanh-ho-xuan-huong
Súp hải sản ngọc bích,95040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-cantonese-kitchen-phan-xich-long
Nấm tay cầm,106920.0,https://www.foody.vn/ho-chi-minh/ech-xanh-ho-xuan-huong
Combo D,80000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-buu-long
Tàu hủ thập cẩm,22000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-buu-long
Tàu hủ bánh Flan,25000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-buu-long
Tàu hủ thập cẩm mít,25000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-buu-long
Tàu Hủ Tả Pí Lù,30000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-buu-long
Tàu hủ phô mai,27000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-buu-long
Tàu hủ phô mai đào,27000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-buu-long
Tàu hũ ngũ sắc,22000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-buu-long
Tàu Hũ Truyền Thống,15000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-buu-long
Tàu hủ ngũ sắc mít,25000.0,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-buu-long
Cháo ếch (nhỏ),105840.0,https://www.foody.vn/ho-chi-minh/ech-xanh-song-hanh
Cháo ếch (vừa),181440.0,https://www.foody.vn/ho-chi-minh/ech-xanh-song-hanh
Cháo ếch (lớn),213840.0,https://www.foody.vn/ho-chi-minh/ech-xanh-song-hanh
Cháo trắng thêm,32400.0,https://www.foody.vn/ho-chi-minh/ech-xanh-song-hanh
Đậu bắp rang muối ớt,74520.0,https://www.foody.vn/ho-chi-minh/ech-xanh-song-hanh
Nấm kim châm rang muối ớt,85320.0,https://www.foody.vn/ho-chi-minh/ech-xanh-song-hanh
Nấm bào ngư rang muối ớt,85320.0,https://www.foody.vn/ho-chi-minh/ech-xanh-song-hanh
Rau nấm thập cẩm rang muối ớt,106920.0,https://www.foody.vn/ho-chi-minh/ech-xanh-song-hanh
Hoành thánh chiên giòn với giấm chua ngọt,95040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-cao-thang
Nấm tay cầm,106920.0,https://www.foody.vn/ho-chi-minh/ech-xanh-song-hanh
Đậu hũ hoàng kim,95040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-cao-thang
Cà tím rang muối ớt,74520.0,https://www.foody.vn/ho-chi-minh/ech-xanh-song-hanh
Tai heo sốt trứ danh San Fu Lou,95040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-cao-thang
Cà tím gà xé sốt giấm ớt,95040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-cao-thang
Súp hải sản chua cay,95040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-cao-thang
"Sườn heo hầm táo đỏ, xà lách xoong",105840.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-cao-thang
"Gà tiềm trúc xanh, nấm đông cô",105840.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-cao-thang
Vịt quay kiểu Hong Kong,203040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-cao-thang
"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",289440.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-cao-thang
