rest_id,rest_name,Cate,open_time,close_time,lowest_price,hightest_price,avg_score,quality_score,price_score,service_score,space_score,location_score,rest_address,rest_link
1024,McDonald's Đa Kao,Nha Hang,Đang mở cửa  00:01,23:59,50.000,200.000,7.2,7.1,6.5,7.3,7.6,7.6,"2 - 6 Bis Điện Biên Phủ, Quận 1, TP. HCM",/ho-chi-minh/mcdonald-s-da-kao
1053,Chang - Modern Thai Cuisine - Cao Thắng,Nha Hang,11:00,21:00,50.000,300.000,7.9,8.0,7.4,8.0,7.9,8.3,"4 Cao Thắng, P. 5, Quận 3, TP. HCM",/ho-chi-minh/chang-modern-thai-cuisine
829,McDonald's Ben Thanh,Nha Hang,Đang mở cửa  00:01,23:59,50.000,200.000,7.3,7.2,6.5,7.2,7.6,7.9,"2-2A Trần Hưng Đạo, P. Bến Thành, Quận 1, TP. HCM",/ho-chi-minh/mcdonald-s-ben-thanh
589,Chang - Modern Thai Cuisine - Võ Văn Ngân,Nha Hang,11:00,21:00,50.000,300.000,8.8,8.9,8.3,9.1,9.0,8.9,"292 Võ Văn Ngân, P. Bình Thọ, Tp. Thủ Đức, TP. HCM",/ho-chi-minh/chang-modern-thai-cuisine-vo-van-ngan
544,Chang - Modern Thai Cuisine - Phan Xích Long,Nha Hang,11:00,21:00,50.000,300.000,8.4,8.5,7.8,8.6,8.3,8.7,"347 Phan Xích Long, P. 1, Quận Phú Nhuận, TP. HCM",/ho-chi-minh/chang-modern-thai-cuisine-phan-xich-long
813,McDonald's Phu Lam,Nha Hang,07:00,23:00,30.000,80.000,7.3,7.4,6.4,7.2,7.8,7.6,"718Bis Kinh Dương Vương, P. 13, Quận 6, TP. HCM",/ho-chi-minh/mcdonald-s-phu-lam
6,Chang - Modern Thai Cuisine - Nguyễn Đức Cảnh,Nha Hang,11:00,21:30,50.000,300.000,8.3,8.3,8.0,8.4,8.5,8.5,"SB8-1, Mỹ Khánh 2, Nguyễn Đức Cảnh, Quận 7, TP. HCM",/ho-chi-minh/chang-modern-thai-cuisine-nguyen-duc-canh
455,Chang - Modern Thai Cuisine - Hoàng Hoa Thám,Nha Hang,11:00,20:30,25.000,60.000,_._,--,--,--,--,--,"110 Hoàng Hoa Thám, P. 12, Quận Tân Bình, TP. HCM",/ho-chi-minh/chang-modern-thai-cuisine-hoang-hoa-tham
138,Bánh Tráng Nướng Đà Lạt NTP Bình Thạnh,An Vat Via He,16:30,22:00,7.000,23.000,7.8,7.8,8.0,7.8,7.7,8.0,"006 Lô B Chung Cư 23/49 TrườNg Sa, P. 3, Quận Bình Thạnh, TP. HCM",/ho-chi-minh/banh-trang-nuong-da-lat-ntp-binh-thanh
111,McDonald's Go Vap,Nha Hang,08:00,23:00,50.000,100.000,7.3,7.4,6.4,7.3,7.6,7.8,"1 Quang Trung, P. 3, Quận Gò Vấp, TP. HCM",/ho-chi-minh/mcdonald-s-go-vap
309,Chang - Modern Thai Cuisine - Vạn Hạnh Mall,Nha Hang,11:00,21:00,79.000,330.000,_._,--,--,--,--,--,"Tầng 05, Trung Tâm Thương Mại Vạn Hạnh Mall, 11 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",/ho-chi-minh/chang-modern-thai-cuisine-van-hanh-mall
1117,Bánh Bèo Thanh Nga - 149/1A Nơ Trang Long,An Vat Via He,15:00,21:00,20.000,44.000,6.1,6.5,6.2,5.8,5.8,6.3,"149/1A Nơ Trang Long, P. 12, Quận Bình Thạnh, TP. HCM",/ho-chi-minh/banh-beo-thanh-nga-149-1a-no-trang-long
277,Hello Pasta - Beefsteak - Mì Ý - Phan Xích Long,Nha Hang,09:30,21:30,35.000,200.000,7.7,8.0,7.9,7.8,7.1,8.0,"392 Phan Xích Long, P. 2, Quận Phú Nhuận, TP. HCM",/ho-chi-minh/hello-pasta-beefsteak-mi-y-phan-xich-long
717,Bánh Bèo Thanh Nga - Rạch Bùng Binh,An Vat Via He,15:00,20:00,3.000,30.000,6.5,6.5,6.3,6.3,6.8,6.8,"43 Rạch Bùng Binh, P. 9, Quận 3, TP. HCM",/ho-chi-minh/banh-beo-thanh-nga-rach-bung-binh
916,McDonald's Vivo,Nha Hang,09:00,22:00,30.000,300.000,7.1,7.2,6.7,7.0,7.1,7.4,"Tầng 1,  Tầng 1 - SC VivoCity, 1058 Nguyễn Văn Linh, KP. 1, P. Tân Phong, Quận 7, TP. HCM",/ho-chi-minh/mcdonald-s-sc-vivocity
903,Bánh Bèo Thanh Nga - Nơ Trang Long,An Vat Via He,07:30,22:00,20.000,40.000,6.2,6.4,6.3,6.0,5.7,6.6,"149/1 Nơ Trang Long, P. 12, Quận Bình Thạnh, TP. HCM",/ho-chi-minh/banh-beo-thanh-nga-no-trang-long
553,Bánh Bèo Thanh Nga - Saigon House,An Vat Via He,08:00,22:30,3.000,30.000,_._,--,--,--,--,--,"77 Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM",/ho-chi-minh/banh-beo-thanh-nga-saigon-house
908,Súp Cua Hạnh - Sư Vạn Hạnh,An Vat Via He,06:15,22:30,12.000,22.000,6.1,6.6,5.7,6.1,5.8,6.5,"549 Sư Vạn Hạnh, Quận 10, TP. HCM",/ho-chi-minh/sup-cua-hanh-su-van-hanh
761,McDonald's Nguyen Hue,Nha Hang,Đang mở cửa  00:01,23:59,25.000,80.000,7.4,7.4,6.9,7.1,7.6,8.1,"123 - 125 Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM",/ho-chi-minh/mcdonald-s-nguyen-hue
760,Hello Pasta - Beefsteak - Mì Ý - Trần Phú,Nha Hang,09:30,21:30,35.000,200.000,8.1,8.3,8.4,8.3,7.6,8.1,"8 Trần Phú, P. 4, Quận 5, TP. HCM",/ho-chi-minh/hello-pasta-beefsteak-mi-y-tran-phu
43,Súp Cua Hạnh - Thống Nhất,An Vat Via He,Đang cập nhật,Đang cập nhật,15.000,33.000,6.0,6.7,5.7,5.8,5.7,6.3,"208 Thống Nhất, Quận Gò Vấp, TP. HCM",/ho-chi-minh/sup-cua-hanh-thong-nhat
867,McDonald’s Vincom Masteri,Nha Hang,07:00,12:00,20.000,250.000,7.6,7.5,7.2,7.8,7.8,7.7,"Tầng 1,  L1-11,12,13, TTTM Vincom Masteri, 159 Xa Lộ Hà Nội, P. Thảo Điền, Tp. Thủ Đức, TP. HCM",/ho-chi-minh/mcdonald-s-vincom-masteri
